idx,unique_carrier,yearmonth,total_departures_scheduled,total_departures_performed,agg_seat_count,total_passenger_count,total_miles_traveled,total_minutes_r2r,total_air_minutes,year,month,carrier_name,total_fuel_cost,full_date,month_stock_price_max,month_stock_price_min,month_stock_price_open,month_stock_price_close,month_stock_price_volume,adj_month_stock_price_close,stock_symbol
681,WN,2010-10,94734.0,94540.0,12887555.0,10027325.0,1602563.0,10279576.0,8816047.0,2010,10,Southwest Airlines Co.,295283891.0,2010-10-01,13.949999809265135,12.59000015258789,13.229999542236328,13.760000228881836,124008800.0,12.871330261230467,LUV
682,WN,2010-11,91374.0,91199.0,12430768.0,9507041.0,1752854.0,10002743.0,8613507.0,2010,11,Southwest Airlines Co.,291039058.0,2010-11-01,14.31999969482422,13.1899995803833,13.859999656677244,13.31999969482422,95589500.0,12.459744453430176,LUV
683,WN,2010-12,94086.0,92543.0,12618661.0,9707625.0,1691546.0,10303808.0,8823788.0,2010,12,Southwest Airlines Co.,313949487.0,2010-12-01,13.609999656677244,12.3100004196167,13.479999542236328,12.979999542236328,120889800.0,12.141703605651855,LUV
684,WN,2011-01,93373.0,92054.0,12543733.0,8997331.0,1747524.0,10198866.0,8719640.0,2011,1,Southwest Airlines Co.,445780850.0,2011-01-01,13.59000015258789,11.8100004196167,13.029999732971193,11.850000381469727,129882100.0,11.088520050048828,LUV
685,WN,2011-02,85277.0,82498.0,11247851.0,8201578.0,1702303.0,9133508.0,7843796.0,2011,2,Southwest Airlines Co.,441687164.0,2011-02-01,12.579999923706055,11.40999984741211,11.9399995803833,11.829999923706055,170537800.0,11.069804191589355,LUV
686,WN,2011-03,99857.0,99377.0,13552609.0,10450262.0,1733748.0,11069502.0,9566805.0,2011,3,Southwest Airlines Co.,517957173.0,2011-03-01,12.880000114440918,11.539999961853027,11.890000343322756,12.630000114440918,194332900.0,11.81839370727539,LUV
687,WN,2011-04,98224.0,96711.0,13189752.0,9953086.0,1786353.0,10837209.0,9367403.0,2011,4,Southwest Airlines Co.,464101809.0,2011-04-01,12.869999885559082,11.300000190734865,12.739999771118164,11.75,189422000.0,10.99912929534912,LUV
688,WN,2011-05,99943.0,99305.0,13548220.0,10487233.0,1656178.0,10983783.0,9454046.0,2011,5,Southwest Airlines Co.,481047303.0,2011-05-01,12.4399995803833,11.369999885559082,11.890000343322756,11.829999923706055,221902500.0,11.074016571044922,LUV
689,WN,2011-06,100596.0,100190.0,13664005.0,10782969.0,1734544.0,11120931.0,9582004.0,2011,6,Southwest Airlines Co.,468011089.0,2011-06-01,11.920000076293945,10.68000030517578,11.8100004196167,11.420000076293945,190605100.0,10.690216064453123,LUV
690,WN,2011-07,102374.0,102033.0,13915581.0,11014511.0,1692966.0,11307683.0,9723862.0,2011,7,Southwest Airlines Co.,489198438.0,2011-07-01,11.649999618530273,9.609999656677246,11.4399995803833,9.960000038146973,141411400.0,9.327149391174316,LUV
691,WN,2011-08,100373.0,99231.0,13541832.0,10440731.0,1760586.0,10878714.0,9334326.0,2011,8,Southwest Airlines Co.,468986368.0,2011-08-01,10.170000076293944,7.809999942779541,10.0600004196167,8.619999885559082,329056100.0,8.072291374206543,LUV
692,WN,2011-09,93019.0,92542.0,12634574.0,9421991.0,1655684.0,10125020.0,8692216.0,2011,9,Southwest Airlines Co.,436324202.0,2011-09-01,8.979999542236328,7.789999961853027,8.600000381469728,8.039999961853027,235222800.0,7.533464431762695,LUV
693,WN,2011-10,97171.0,96657.0,13189044.0,10209301.0,1705702.0,10642053.0,9172728.0,2011,10,Southwest Airlines Co.,445566144.0,2011-10-01,9.279999732971193,7.1500000953674325,8.020000457763674,8.550000190734862,211820400.0,8.011331558227539,LUV
694,WN,2011-11,91367.0,90995.0,12408100.0,9726998.0,1799965.0,10055141.0,8667189.0,2011,11,Southwest Airlines Co.,418983683.0,2011-11-01,8.630000114440918,7.369999885559082,8.319999694824219,8.380000114440918,182291100.0,7.852043151855469,LUV
695,WN,2011-12,94143.0,93895.0,12806915.0,9781427.0,1698904.0,10423306.0,8959606.0,2011,12,Southwest Airlines Co.,449341732.0,2011-12-01,8.710000038146973,8.119999885559082,8.300000190734862,8.560000419616701,140578300.0,8.020703315734862,LUV
696,WN,2012-01,90974.0,90118.0,12286646.0,8789342.0,1800843.0,9978486.0,8576439.0,2012,1,Southwest Airlines Co.,277711435.0,2012-01-01,9.779999732971193,8.220000267028809,8.720000267028809,9.579999923706056,122195700.0,8.98121166229248,LUV
697,WN,2012-02,87240.0,86436.0,11787492.0,8592597.0,1765303.0,9642900.0,8320155.0,2012,2,Southwest Airlines Co.,253104358.0,2012-02-01,10.050000190734863,8.670000076293945,9.699999809265137,8.979999542236328,101917800.0,8.418712615966799,LUV
698,WN,2012-03,98553.0,98199.0,13394631.0,10423030.0,1829776.0,11095816.0,9570878.0,2012,3,Southwest Airlines Co.,283892879.0,2012-03-01,9.109999656677246,8.029999732971191,9.020000457763672,8.239999771118164,178081900.0,7.728909015655518,LUV
699,WN,2012-04,96675.0,96079.0,13124292.0,10027411.0,1789763.0,10741495.0,9293930.0,2012,4,Southwest Airlines Co.,262687589.0,2012-04-01,8.5,7.760000228881836,8.220000267028809,8.279999732971191,182216400.0,7.766430377960205,LUV
700,WN,2012-05,98987.0,98523.0,13480828.0,10436865.0,1797029.0,10965218.0,9447860.0,2012,5,Southwest Airlines Co.,285523831.0,2012-05-01,9.140000343322754,8.0,8.25,9.029999732971193,211008800.0,8.469908714294434,LUV
701,WN,2012-06,98766.0,98258.0,13489718.0,10816140.0,1886059.0,11088049.0,9549290.0,2012,6,Southwest Airlines Co.,310700426.0,2012-06-01,9.420000076293944,8.579999923706055,8.899999618530273,9.220000267028807,225293800.0,8.648127555847168,LUV
702,WN,2012-07,102302.0,101862.0,14048356.0,11198327.0,1797090.0,11486441.0,9851111.0,2012,7,Southwest Airlines Co.,319188062.0,2012-07-01,9.81999969482422,8.449999809265138,9.300000190734863,9.1899995803833,202143000.0,8.62962818145752,LUV
703,WN,2012-08,98395.0,97823.0,13543286.0,10839724.0,1965601.0,10925992.0,9341581.0,2012,8,Southwest Airlines Co.,295793183.0,2012-08-01,9.529999732971193,8.8100004196167,9.1899995803833,8.9399995803833,175484900.0,8.394871711730957,LUV
704,WN,2012-09,89927.0,89735.0,12476957.0,9296928.0,1801240.0,9977232.0,8568235.0,2012,9,Southwest Airlines Co.,283361784.0,2012-09-01,9.31999969482422,8.75,8.930000305175781,8.770000457763674,120278700.0,8.244278907775879,LUV
705,WN,2012-10,96036.0,94507.0,13170128.0,10198075.0,1653835.0,10566578.0,9055929.0,2012,10,Southwest Airlines Co.,300044113.0,2012-10-01,9.170000076293944,8.680000305175781,8.779999732971191,8.819999694824219,137233000.0,8.291279792785645,LUV
706,WN,2012-11,90231.0,89867.0,12578796.0,9712440.0,1892161.0,10090408.0,8670365.0,2012,11,Southwest Airlines Co.,298346362.0,2012-11-01,9.579999923706056,8.699999809265138,8.819999694824219,9.529999732971193,133572500.0,8.958719253540039,LUV
707,WN,2012-12,92448.0,91413.0,12843939.0,9628398.0,1908851.0,10469462.0,8966524.0,2012,12,Southwest Airlines Co.,312741891.0,2012-12-01,10.609999656677246,9.420000076293944,9.579999923706056,10.239999771118164,134684300.0,9.62615966796875,LUV
708,WN,2013-01,89169.0,88761.0,12515051.0,8585896.0,1838200.0,9966799.0,8534124.0,2013,1,Southwest Airlines Co.,400589830.0,2013-01-01,11.619999885559082,10.359999656677246,10.449999809265137,11.210000038146973,187986900.0,10.549185752868652,LUV
709,WN,2013-02,83116.0,81638.0,11551878.0,8361906.0,1900261.0,9278071.0,7943394.0,2013,2,Southwest Airlines Co.,384425204.0,2013-02-01,11.899999618530273,11.149999618530273,11.289999961853027,11.699999809265135,127153100.0,11.010302543640137,LUV
710,WN,2013-03,99142.0,98205.0,13929381.0,10848179.0,1998354.0,11348357.0,9751786.0,2013,3,Southwest Airlines Co.,476221011.0,2013-03-01,13.579999923706055,11.65999984741211,11.65999984741211,13.479999542236328,140992100.0,12.685369491577148,LUV
711,WN,2013-04,97198.0,96746.0,13768526.0,10203572.0,2064668.0,11137317.0,9561439.0,2013,4,Southwest Airlines Co.,450033426.0,2013-04-01,13.770000457763672,12.449999809265135,13.470000267028807,13.699999809265135,158625600.0,12.903119087219238,LUV
712,WN,2013-05,98821.0,98602.0,14062879.0,10949913.0,1851318.0,11231909.0,9628222.0,2013,5,Southwest Airlines Co.,457296262.0,2013-05-01,14.5600004196167,13.399999618530273,13.710000038146973,14.170000076293945,174503900.0,13.345783233642578,LUV
713,WN,2013-06,97405.0,96941.0,13840997.0,11155284.0,1947018.0,11258861.0,9634192.0,2013,6,Southwest Airlines Co.,464335924.0,2013-06-01,14.279999732971193,12.789999961853027,14.18000030517578,12.890000343322756,150874500.0,12.140235900878904,LUV
714,WN,2013-07,100309.0,99797.0,14271923.0,11198903.0,1835652.0,11561290.0,9878928.0,2013,7,Southwest Airlines Co.,485667604.0,2013-07-01,14.020000457763672,12.579999923706055,12.960000038146973,13.829999923706055,119536000.0,13.06243133544922,LUV
715,WN,2013-08,96559.0,96293.0,13814459.0,10606872.0,1977040.0,10994943.0,9384956.0,2013,8,Southwest Airlines Co.,444702657.0,2013-08-01,14.239999771118164,12.640000343322756,13.90999984741211,12.8100004196167,119007600.0,12.099042892456055,LUV
716,WN,2013-09,89994.0,89607.0,12889464.0,9463027.0,1942603.0,10087608.0,8623705.0,2013,9,Southwest Airlines Co.,404510280.0,2013-09-01,14.81999969482422,12.729999542236328,12.970000267028807,14.5600004196167,124606400.0,13.79106903076172,LUV
717,WN,2013-10,94475.0,94264.0,13557671.0,10310617.0,1754610.0,10716258.0,9191991.0,2013,10,Southwest Airlines Co.,396034507.0,2013-10-01,17.34000015258789,14.479999542236328,14.579999923706055,17.219999313354492,151855900.0,16.310588836669922,LUV
718,WN,2013-11,89614.0,89293.0,12862874.0,9814340.0,2128886.0,10330047.0,8885491.0,2013,11,Southwest Airlines Co.,367236988.0,2013-11-01,18.979999542236328,17.200000762939453,17.260000228881836,18.59000015258789,150545200.0,17.608240127563477,LUV
