,departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,unique_carrier_name,origin_airport_id,origin,dest_airport_id,dest,aircraft_type,year,quarter,month,seats_v1,passengers_v1,null_seats,null_seats_prop,day_per_departures_perf,distance_grouped,is_overbooked,distance_per_departures
85,6.0,0.0,0.0,0,0,0.0,0.0,306.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,11995,GSO  ,819,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
86,19.0,0.0,0.0,0,0,0.0,0.0,231.0,0.0,0.0,DL,Delta Air Lines Inc.,12339,IND  ,11433,DTW  ,819,2014,3,8,0,0,0,0.0,0.0,0,0,0.0
87,11.0,0.0,0.0,0,0,0.0,0.0,500.0,0.0,0.0,DL,Delta Air Lines Inc.,11433,DTW  ,11057,CLT  ,819,2014,3,8,0,0,0,0.0,0.0,0,0,0.0
88,13.0,0.0,0.0,0,0,0.0,0.0,692.0,0.0,0.0,DL,Delta Air Lines Inc.,10135,ABE  ,10397,ATL  ,819,2014,3,8,0,0,0,0.0,0.0,0,0,0.0
89,14.0,0.0,0.0,0,0,0.0,0.0,692.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,10135,ABE  ,819,2014,3,8,0,0,0,0.0,0.0,0,0,0.0
90,15.0,0.0,0.0,0,0,0.0,0.0,1990.0,0.0,0.0,DL,Delta Air Lines Inc.,14869,SLC  ,12478,JFK  ,687,2014,4,12,0,0,0,0.0,0.0,0,0,0.0
91,18.0,0.0,0.0,0,0,0.0,0.0,1075.0,0.0,0.0,DL,Delta Air Lines Inc.,11433,DTW  ,12266,IAH  ,819,2014,3,8,0,0,0,0.0,0.0,0,0,0.0
92,22.0,22.0,576400.0,2200,1937,7248.0,0.0,1368.0,4552.0,4099.0,B6,JetBlue Airways,10721,BOS  ,13495,MSY  ,678,2014,3,9,100,88,12,0.12,0.73,2,0,62.18
93,25.0,25.0,935000.0,3750,3376,227.0,0.0,2602.0,9235.0,8621.0,B6,JetBlue Airways,10721,BOS  ,12954,LGB  ,694,2014,2,5,150,135,15,0.1,0.83,2,0,104.08
94,31.0,0.0,0.0,0,0,0.0,0.0,528.0,0.0,0.0,DL,Delta Air Lines Inc.,10874,CAK  ,10397,ATL  ,819,2014,3,7,0,0,0,0.0,0.0,0,0,0.0
95,31.0,30.0,1124359.0,4618,4029,1277.0,8195.0,2405.0,9908.0,9193.0,UA,United Air Lines Inc.,11292,DEN  ,10299,ANC  ,614,2014,3,8,154,134,20,0.13,1.0,2,1,80.17
96,34.0,0.0,0.0,0,0,0.0,0.0,300.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,11953,GNV  ,819,2014,2,5,0,0,0,0.0,0.0,0,0,0.0
97,35.0,0.0,0.0,0,0,0.0,0.0,357.0,0.0,0.0,DL,Delta Air Lines Inc.,14574,ROA  ,10397,ATL  ,819,2014,4,12,0,0,0,0.0,0.0,0,0,0.0
98,46.0,43.0,1126600.0,4300,4039,1492.0,0.0,1197.0,8869.0,7718.0,B6,JetBlue Airways,10721,BOS  ,14027,PBI  ,678,2014,1,2,100,94,6,0.06,1.43,1,0,27.84
99,51.0,0.0,0.0,0,0,0.0,0.0,551.0,0.0,0.0,DL,Delta Air Lines Inc.,14814,SHV  ,10397,ATL  ,819,2014,4,10,0,0,0,0.0,0.0,0,0,0.0
100,52.0,51.0,1907400.0,7650,5901,184.0,0.0,301.0,3736.0,2845.0,B6,JetBlue Airways,10792,BUF  ,12478,JFK  ,694,2014,2,4,150,116,34,0.23,1.7,0,1,5.9
101,52.0,0.0,0.0,0,0,0.0,0.0,620.0,0.0,0.0,DL,Delta Air Lines Inc.,13230,MDT  ,10397,ATL  ,819,2014,3,7,0,0,0,0.0,0.0,0,0,0.0
102,140.0,139.0,5198600.0,20850,16758,0.0,0.0,937.0,21043.0,17803.0,B6,JetBlue Airways,13204,MCO  ,11618,EWR  ,694,2014,3,9,150,121,29,0.19,4.63,0,0,6.74
103,144.0,0.0,0.0,0,0,0.0,0.0,591.0,0.0,0.0,DL,Delta Air Lines Inc.,10397,ATL  ,13232,MDW  ,819,2014,3,7,0,0,0,0.0,0.0,0,0,0.0
104,151.0,146.0,3825200.0,14600,11203,1092.0,0.0,280.0,13189.0,8913.0,B6,JetBlue Airways,10721,BOS  ,14100,PHL  ,678,2014,3,7,100,77,23,0.23,4.87,0,1,1.92
105,1.0,0.0,0.0,0,0,0.0,0.0,1145.0,0.0,0.0,DL,Delta Air Lines Inc.,11433,DTW  ,13303,MIA  ,622,2015,3,9,0,0,0,0.0,0.0,0,0,0.0
106,1.0,0.0,0.0,0,0,0.0,0.0,528.0,0.0,0.0,UA,United Air Lines Inc.,13930,ORD  ,14576,ROC  ,694,2015,4,12,0,0,0,0.0,0.0,0,0,0.0
107,1.0,0.0,0.0,0,0,0.0,0.0,214.0,0.0,0.0,DL,Delta Air Lines Inc.,10693,BNA  ,10397,ATL  ,622,2015,1,3,0,0,0,0.0,0.0,0,0,0.0
